community,,start,end
18_588,0,2905000.0,5715000.0
18_638,0,6495000.0,13000000.0
18_743,0,65375000.0,68640000.0
18_744,0,49495000.0,53630000.0
18_744,1,54195000.0,60360000.0
18_763,0,41645000.0,46190000.0
18_801,0,57910000.0,63105000.0
18_804,0,42755000.0,50970000.0
19_108,0,14575000.0,19645000.0
19_127,0,45060000.0,48300000.0
19_267,0,29300000.0,33455000.0
19_289,0,28960000.0,35590000.0
19_306,0,15710000.0,17805000.0
19_31,0,4365000.0,6015000.0
19_330,0,34925000.0,38085000.0
19_331,0,37755000.0,40110000.0
19_346,0,36570000.0,38920000.0
19_36,0,2650000.0,5870000.0
19_360,0,19330000.0,23065000.0
19_361,0,38925000.0,43055000.0
19_376,0,41015000.0,43885000.0
19_384,0,43115000.0,45930000.0
19_395,0,47440000.0,48690000.0
19_396,0,41735000.0,43270000.0
19_397,0,46305000.0,48685000.0
19_408,0,46410000.0,52370000.0
19_415,0,27730000.0,29730000.0
19_417,0,52060000.0,55490000.0
19_417,1,56075000.0,59055000.0
19_424,0,54015000.0,57880000.0
19_436,0,51110000.0,53220000.0
19_44,0,5360000.0,8960000.0
19_58,0,7585000.0,9905000.0
19_73,0,9130000.0,12715000.0
19_80,0,10565000.0,14950000.0
19_84,0,12960000.0,17555000.0
1_1058,0,240580000.0,244575000.0
1_1076,0,63730000.0,67950000.0
1_1076,1,68850000.0,72065000.0
1_1077,0,161675000.0,177960000.0
1_1094,0,170665000.0,188805000.0
1_1111,0,60380000.0,65270000.0
1_1171,0,182180000.0,186585000.0
1_126,0,21665000.0,33065000.0
1_1474,0,189970000.0,194605000.0
1_1474,1,194605000.0,223445000.0
1_1474,2,223955000.0,232360000.0
1_1474,3,232360000.0,237890000.0
1_153,0,34050000.0,48990000.0
1_153,1,50650000.0,54565000.0
1_1609,0,226500000.0,232650000.0
1_1614,0,221055000.0,225955000.0
1_1625,0,217925000.0,223685000.0
1_1625,1,226125000.0,229580000.0
1_1627,0,29325000.0,37690000.0
1_165,0,216310000.0,221000000.0
1_1657,0,216460000.0,220655000.0
1_1657,1,230555000.0,232335000.0
1_1657,2,232335000.0,238460000.0
1_1741,0,196145000.0,199485000.0
1_1772,0,142535000.0,143500000.0
1_19,0,580000.0,6260000.0
1_205,0,85700000.0,90030000.0
1_216,0,46880000.0,66185000.0
1_237,0,57075000.0,65070000.0
1_24,0,113770000.0,120365000.0
1_281,0,63715000.0,75260000.0
1_364,0,156375000.0,163530000.0
1_364,1,164730000.0,168655000.0
1_63,0,1705000.0,9630000.0
1_633,0,88930000.0,90755000.0
1_689,0,77970000.0,82350000.0
1_689,1,82350000.0,104055000.0
1_689,2,104055000.0,108975000.0
1_748,0,96515000.0,108705000.0
1_864,0,105570000.0,116910000.0
1_909,0,239750000.0,243540000.0
1_909,1,243930000.0,246765000.0
1_92,0,110260000.0,113930000.0
1_92,1,116770000.0,121340000.0
1_92,2,143155000.0,153580000.0
1_93,0,8825000.0,24140000.0
1_93,1,28605000.0,31990000.0
1_93,2,32800000.0,39740000.0
1_93,3,46780000.0,52035000.0
1_970,0,190495000.0,195335000.0
1_978,0,149805000.0,153730000.0
1_991,0,151770000.0,158910000.0
1_993,0,73445000.0,85870000.0
20_111,0,9690000.0,11895000.0
20_131,0,14140000.0,16695000.0
20_150,0,4100000.0,9145000.0
20_20,0,2840000.0,5460000.0
20_200,0,17455000.0,24055000.0
20_259,0,13395000.0,17275000.0
20_308,0,30085000.0,32740000.0
20_333,0,31635000.0,33985000.0
20_341,0,41545000.0,45435000.0
20_342,0,31490000.0,37830000.0
20_347,0,35775000.0,39705000.0
20_369,0,37000000.0,41975000.0
20_37,0,52970000.0,57165000.0
20_379,0,15515000.0,21125000.0
20_379,1,21680000.0,26300000.0
20_399,0,42830000.0,49765000.0
20_407,0,46395000.0,51775000.0
20_418,0,49145000.0,54830000.0
20_465,0,54670000.0,58810000.0
20_48,0,2950000.0,4710000.0
20_490,0,8715000.0,14700000.0
20_5,0,24595000.0,26245000.0
20_76,0,9375000.0,12315000.0
20_81,0,5725000.0,10045000.0
21_144,0,15315000.0,18840000.0
21_158,0,14860000.0,16955000.0
21_198,0,24370000.0,27280000.0
21_559,0,29885000.0,31485000.0
21_708,0,33610000.0,37050000.0
21_714,0,33930000.0,37460000.0
21_717,0,32220000.0,33970000.0
21_767,0,36385000.0,41305000.0
21_799,0,32740000.0,34980000.0
21_807,0,41710000.0,44505000.0
21_870,0,43130000.0,46125000.0
22_100,0,35645000.0,37245000.0
22_114,0,36135000.0,38805000.0
22_119,0,24590000.0,28695000.0
22_120,0,26745000.0,28830000.0
22_138,0,29560000.0,31825000.0
22_147,0,30575000.0,34100000.0
22_151,0,30480000.0,31925000.0
22_162,0,34390000.0,36825000.0
22_165,0,32390000.0,35710000.0
